word,wordFreq,letterFreqSum,letterPosFreqSum
QUALM,34744.0,2502,718
CROUP,149483.0,2956,846
CLINK,164177.0,2644,959
JUICY,3778910.0,2062,985
STAGE,52518330.0,3912,1246
DECAY,4956622.0,3497,934
NERVE,6567418.0,2852,908
FLIER,542812.0,3742,1131
SHAFT,6431372.0,2988,1103
CROOK,1067661.0,2335,953
CLEAN,45381752.0,3969,867
CHINA,124472054.0,3080,853
RIDGE,15993437.0,3500,879
VOWEL,1033509.0,3045,821
GNOME,12609820.0,3182,935
SNUCK,274495.0,2392,880
ICING,1277602.0,2028,563
SPINY,366114.0,2700,1238
RIGOR,513599.0,2630,717
SNAIL,1580640.0,3602,1071
FLOWN,1749635.0,2465,733
RABID,612676.0,3215,741
PROSE,3085898.0,3913,1244
THANK,63234550.0,2874,894
POPPY,1805254.0,1542,891
BUDGE,418361.0,2679,931
FIBER,15530318.0,3306,922
MOLDY,208515.0,2602,931
DOWDY,161797.0,1764,849
KNEEL,417602.0,2729,757
TRACK,112385243.0,3286,985
CADDY,1094377.0,2267,1010
QUELL,292803.0,2441,702
DUMPY,88067.0,1964,771
PALER,152772.0,4183,1087
SWORE,663914.0,3742,1224
REBAR,281535.0,3382,776
SCUBA,6366349.0,2864,657
SPLAT,350981.0,3453,953
FLYER,5718564.0,3496,894
HORNY,12363955.0,3034,1057
MASON,9461838.0,3285,753
DOING,80821946.0,2699,879
OZONE,5865280.0,2596,890
AMPLY,321480.0,2796,761
MOLAR,650262.0,3657,872
OVARY,1003163.0,3201,876
BESET,373969.0,2907,1065
QUEUE,7398569.0,1725,889
CLIFF,5898886.0,2090,725
MAGIC,36676771.0,2746,667
TRUCE,897431.0,3797,1153
SPORT,62683851.0,3412,1072
FRITZ,2309089.0,2565,811
EDICT,382916.0,3497,761
TWIRL,234072.0,3206,764
VERSE,7469512.0,2947,1040
LLAMA,1033922.0,2007,724
EATEN,3412832.0,3507,935
RANGE,128314924.0,3985,1044
WHISK,591308.0,2129,776
HOVEL,76694.0,3238,870
REHAB,6460331.0,3769,528
MACAW,261749.0,1960,646
SIGMA,11864409.0,2939,764
SPOUT,905624.0,2981,1004
VERVE,1218256.0,2279,914
SUSHI,3488691.0,2191,669
DYING,9123557.0,2370,622
FETID,75712.0,3251,763
BRAIN,33612784.0,3395,1034
BUDDY,23611087.0,1563,866
THUMP,456603.0,2263,582
SCION,2245350.0,3139,933
CANDY,13772033.0,2840,1072
CHORD,3123447.0,2905,853
BASIN,10544774.0,3166,845
MARCH,158281269.0,3050,861
CROWD,11409218.0,2712,851
ARBOR,5057261.0,2905,807
GAYLY,29264.0,2425,974
MUSKY,177529.0,2084,791
STAIN,3512824.0,3615,1036
DALLY,142954.0,2508,1053
BLESS,5477461.0,2894,757
BRAVO,2772503.0,3057,849
STUNG,404657.0,2746,830
TITLE,196676017.0,3345,1045
RULER,2615554.0,3309,932
KIOSK,1808146.0,2301,748
BLOND,5155053.0,2715,916
ENNUI,145576.0,2939,389
LAYER,26912270.0,4242,950
FLUID,12943336.0,2474,776
TATTY,130077.0,2128,1067
SCORE,69315004.0,4023,1220
CUTIE,3305791.0,3570,1074
ZEBRA,2902469.0,3422,513
BARGE,1319916.0,3692,1138
MATEY,104596.0,3674,1204
BLUER,80668.0,3589,1068
AIDER,140957.0,4165,946
SHOOK,2917411.0,2018,997
RIVER,78843808.0,2949,885
PRIVY,742055.0,2508,1083
BETEL,126006.0,2955,998
FRISK,152512.0,2674,952
BONGO,767108.0,1916,723
BEGUN,8636352.0,2859,693
AZURE,1042257.0,3608,879
WEAVE,1965230.0,2551,1096
GENIE,1627726.0,2783,1073
SOUND,100010833.0,2853,1109
GLOVE,4714578.0,3161,1025
BRAID,981945.0,3215,1022
SCOPE,23349420.0,3491,1120
WRYLY,93928.0,2231,904
ROVER,8537021.0,3032,963
ASSAY,3855224.0,2067,762
OCEAN,31928741.0,4006,550
BLOOM,5456938.0,2065,790
IRATE,256072.0,4501,1168
LATER,84857974.0,4547,1032
